room_id,room_name,branch_id,branch_name,room_type,concept,concept_name,capacity,bed_type,area,amenities,description,slot_group_id,operational_status
TD-STD-03,Standard TD03,TD,CozyHome Thảo Điền,Standard,Cao nguyên và thiên nhiên,Yên tĩnh cao nguyên,2,1 giường đôi,22,gác lửng thông tầng|sofa thư giãn|bếp mini|bàn ăn gỗ|smart tv lớn|view rừng cây|máy lạnh|minibar|wifi,"Phòng Standard TD03 là căn Loft gác lửng thông tầng bằng gỗ sồi độc đáo như một căn nhà gỗ trên cao nguyên. Tầng trệt là phòng khách rộng rãi với sofa xanh rêu, bếp mini và bàn ăn, gác lửng trên cao là phòng ngủ riêng tư ngắm trọn vòm cây xanh.",N3,Sẵn sàng
TD-DL-01,Deluxe TD04,TD,CozyHome Thảo Điền,Deluxe,Cao nguyên và thiên nhiên,Gần gũi cây cỏ,3,1 giường đôi lớn,28,view sông sài gòn|máy chiếu phim|bồn tắm ngâm|ngắm hoàng hôn ven sông|gương trang điểm elip|bàn làm việc gỗ sồi|máy lạnh|minibar|wifi,"Phòng Deluxe TD04 tọa lạc tại vị trí tuyệt mỹ với tầm nhìn panorama trực diện sông Sài Gòn lộng gió và cảnh hoàng hôn buông lãng mạn. Phòng trang bị máy chiếu phim sắc nét, bồn tắm ngâm thư giãn cùng bàn trang điểm gỗ sồi sang trọng.",N4,Sẵn sàng
TD-DL-02,Deluxe TD05,TD,CozyHome Thảo Điền,Deluxe,Cao nguyên và thiên nhiên,Xanh mát thiên nhiên,3,1 giường đôi lớn,28,gương vòm toàn thân|bàn trà đọc sách|bồn tắm ngâm|tủ mây kịch trần|smart tv|máy lạnh|minibar|view vườn cây|wifi,"Phòng Deluxe TD05 mở ra khung cảnh vườn xanh tĩnh lặng với góc trà đọc sách an yên bên cửa sổ. Phòng nổi bật với gương soi toàn thân dáng vòm, tủ quần áo mây đan kịch trần tinh tế và bồn tắm ngâm giải tỏa mọi âu lo.",N1,Sẵn sàng
TD-DL-03,Deluxe TD06,TD,CozyHome Thảo Điền,Deluxe,Cao nguyên và thiên nhiên,Ấm cúng gia đình,3,1 giường đôi lớn,28,ban công riêng|ghế mây trứng|bồn tắm ngâm|tinh dầu xông thơm|smart tv|máy lạnh|minibar|tranh macrame|wifi,"Phòng Deluxe TD06 mang phong cách Bohemian cao nguyên ấm áp với tường đất nung terracotta và tranh macrame dệt tay thủ công. Ban công thoáng rộng trang bị chiếc ghế mây trứng thư giãn để bạn thả mình nhâm nhi tách trà giữa thiên nhiên nhiệt đới.",N2,Sẵn sàng
TD-FAM-01,Family TD07,TD,CozyHome Thảo Điền,Family,Cao nguyên và thiên nhiên,Yên tĩnh cao nguyên,6,3 giường,40,3 giường lớn|ban công ngắm rừng cây|bếp mini tủ kệ lớn|bàn ăn gia đình|bồn tắm ngâm|smart tv|máy lạnh|minibar|wifi,"Phòng Family TD07 rộng 40m² lý tưởng cho gia đình 4-6 người với ban công mở ra rừng cây xanh ngắt. Không gian sở hữu 3 giường ngủ thoải mái (2 giường đôi lớn + 1 sofa bed), bồn tắm ngâm cao cấp và gian bếp tủ gỗ sồi kịch trần tích hợp bàn ăn ấm cúng.",N3,Sẵn sàng
TD-FAM-02,Family TD08,TD,CozyHome Thảo Điền,Family,Cao nguyên và thiên nhiên,Gần gũi cây cỏ,6,3 giường,40,3 giường lớn|cửa sổ vòm biệt thự|bàn trà thư giãn|bồn tắm ngâm|cây xanh lọc không khí|smart tv lớn|máy lạnh|minibar|wifi,"Phòng Family TD08 sang trọng với thiết kế cửa sổ vòm phong cách biệt thự Thảo Điền nhìn ra rặng dừa xanh mướt. Phòng bố trí 3 giường ngủ êm ái (2 giường đôi lớn + 1 sofa bed), bồn tắm ngâm thư giãn cùng góc trà đàm đạo ngập tràn sinh khí.",N4,Sẵn sàng
PMH-STD-01,Standard PMH01,PMH,CozyHome Phú Mỹ Hưng,Standard,Biển và nhiệt đới,Nhiệt đới trong lành,2,1 giường đôi,22,ban công rặng dừa|đèn thả mây tre|bồn tắm ngâm|bàn làm việc gỗ sồi|smart tv|máy lạnh|minibar|thảm cói dệt tay|wifi,"Phòng Standard PMH01 đem đến cảm giác như một resort miền biển nhiệt đới với ban công kính mở ra rặng dừa xanh mướt. Đèn thả mây tre đan ấm áp, thảm cói dệt tay và bồn tắm ngâm thư giãn giúp kỳ nghỉ thêm phần trọn vẹn.",N1,Sẵn sàng
PMH-STD-02,Standard PMH02,PMH,CozyHome Phú Mỹ Hưng,Standard,Biển và nhiệt đới,Lãng mạn ven hồ,2,1 giường đôi,22,ban công view hồ|ngắm hoàng hôn ven hồ|bồn tắm ngâm|bàn trang điểm|smart tv|máy lạnh|minibar|wifi|máy sấy tóc,"Phòng Standard PMH02 sở hữu ban công lãng mạn hướng hồ đón những vệt nắng hoàng hôn rực rỡ buông xuống hàng dừa nước. Tone màu xanh biển pastel dịu mát kết hợp bồn tắm ngâm thư giãn tạo nên không gian tuyệt vời cho các cặp đôi.",N2,Sẵn sàng
PMH-STD-03,Standard PMH03,PMH,CozyHome Phú Mỹ Hưng,Standard,Biển và nhiệt đới,Ấm cúng gia đình,2,1 giường đôi,22,ban công view công viên hồ|máy pha cà phê|bồn tắm ngâm|bàn làm việc|smart tv|máy lạnh|minibar|wifi|máy sấy tóc,"Phòng Standard PMH03 ngập tràn ánh nắng tự nhiên với ban công ngắm nhìn công viên cây xanh và mặt nước hồ mát lành. Căn phòng trang bị máy pha cà phê phục vụ bữa sáng thơm ngon cùng bồn tắm ngâm thư thái.",N3,Sẵn sàng
PMH-DL-01,Deluxe PMH04,PMH,CozyHome Phú Mỹ Hưng,Deluxe,Biển và nhiệt đới,Thư giãn ven nước,3,1 giường đôi lớn,28,máy chiếu rạp phim|ban công vườn nhiệt đới|bồn tắm ngâm|gương đứng toàn thân|bàn làm việc gỗ sồi|máy lạnh|minibar|wifi,"Phòng Deluxe PMH04 rộng 28m² nổi bật với máy chiếu rạp phim màn hình lớn cho bạn thưởng thức những bộ phim yêu thích trong kỳ nghỉ. Ban công mở ra khoảng xanh nhiệt đới rậm rạp kết hợp bồn tắm ngâm cao cấp.",N4,Sẵn sàng
PMH-DL-02,Deluxe PMH05,PMH,CozyHome Phú Mỹ Hưng,Deluxe,Biển và nhiệt đới,Nhiệt đới trong lành,3,1 giường đôi lớn,28,ban công vườn nhiệt đới|gương vòm toàn thân|bồn tắm ngâm|sofa thư giãn|smart tv|máy lạnh|minibar|bàn trang điểm|wifi,"Phòng Deluxe PMH05 mang phong cách nghỉ dưỡng ven biển tươi mát với ban công rợp bóng cây chuối cảnh và cọ dừa. Phòng trang bị gương vòm toàn thân sang trọng, sofa nệm thư giãn và bồn tắm ngâm thanh lọc cơ thể.",N1,Sẵn sàng
PMH-DL-03,Deluxe PMH06,PMH,CozyHome Phú Mỹ Hưng,Deluxe,Biển và nhiệt đới,Lãng mạn ven hồ,3,1 giường đôi lớn,28,view hồ bán nguyệt|máy chiếu phim|ban công ngắm hoàng hôn|bồn tắm ngâm|bàn làm việc gỗ sồi|máy lạnh|minibar|wifi,"Phòng Deluxe PMH06 sở hữu vị trí đắt giá ngắm thẳng Hồ Bán Nguyệt và Cầu Ánh Sao thơ mộng lúc lên đèn. Không gian lãng mạn tột cùng với máy chiếu phim chill, ban công đón gió hồ và bồn tắm ngâm ngát hương thơm.",N2,Sẵn sàng
PMH-DL-04,Deluxe PMH07,PMH,CozyHome Phú Mỹ Hưng,Deluxe,Biển và nhiệt đới,Ấm cúng gia đình,3,1 giường đôi lớn,28,ban công cây xanh|bồn tắm ngâm sang trọng|sofa thư giãn|bàn trang điểm|smart tv|máy lạnh|minibar|wifi|máy sấy tóc,"Phòng Deluxe PMH07 mang đến không gian rộng rãi 28m² với ban công thoáng mát hướng ra vườn hoa nhiệt đới. Trang bị sofa thư giãn êm ái, bồn tắm ngâm sang trọng và bàn trang điểm gỗ sồi tinh xảo.",N3,Sẵn sàng
PMH-FAM-01,Family PMH08,PMH,CozyHome Phú Mỹ Hưng,Family,Biển và nhiệt đới,Thư giãn ven nước,6,3 giường,40,3 giường lớn|sofa bed cửa sổ vòm|ban công view hồ|bồn tắm ngâm|đèn lồng mây khổng lồ|smart tv lớn|máy lạnh|minibar|wifi,"Phòng Family PMH08 rộng 40m² đẳng cấp bậc nhất với 3 giường ngủ (2 giường đôi lớn + 1 sofa bed dài bên cửa sổ vòm cong hướng hồ Bán Nguyệt). Căn phòng ngập tràn phong cách nhiệt đới với đèn lồng mây tre khổng lồ, ban công hướng hồ và bồn tắm ngâm tiện nghi.",N4,Bảo trì
